dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,cumulative_cases,cumulative_deaths
2020-02-20,20,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-21,21,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-21,21,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-21,21,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,12,1
2020-02-21,21,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-22,22,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-22,22,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-22,22,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00149225,12,1
2020-02-22,22,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-23,23,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-23,23,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-23,23,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00149225,12,1
2020-02-23,23,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-24,24,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-24,24,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-24,24,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00149225,12,1
2020-02-24,24,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-25,25,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-25,25,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-25,25,2,2020,0,0,France,fr,FRA,67012883,Europe,0.00149225,12,1
2020-02-25,25,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-26,26,2,2020,1,0,Algeria,dz,DZA,43053054,Africa,0.00232272,1,0
2020-02-26,26,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-26,26,2,2020,2,0,France,fr,FRA,67012883,Europe,0.00447675,14,1
2020-02-26,26,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-27,27,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0.00232272,1,0
2020-02-27,27,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-27,27,2,2020,3,1,France,fr,FRA,67012883,Europe,0.0089535,17,2
2020-02-27,27,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-28,28,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0.00232272,1,0
2020-02-28,28,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,1,0
2020-02-28,28,2,2020,21,0,France,fr,FRA,67012883,Europe,0.04029076,38,2
2020-02-28,28,2,2020,1,0,Nigeria,ng,NGA,200963603,Africa,4.976e-4,1,0
2020-02-29,29,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0.00232272,1,0
2020-02-29,29,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,1,0
2020-02-29,29,2,2020,19,0,France,fr,FRA,67012883,Europe,0.06864352,57,2
2020-02-29,29,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,4.976e-4,1,0
2020-03-01,1,3,2020,2,0,Algeria,dz,DZA,43053054,Africa,0.00696815,3,0
2020-03-01,1,3,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,1,0
2020-03-01,1,3,2020,43,0,France,fr,FRA,67012883,Europe,0.13281028,100,2
2020-03-01,1,3,2020,0,0,Nigeria,ng,NGA,200963603,Africa,4.976e-4,1,0
2020-03-02,2,3,2020,0,0,Algeria,dz,DZA,43053054,Africa,0.00696815,3,0
2020-03-02,2,3,2020,1,0,Egypt,eg,EGY,100388076,Africa,9.9613e-4,2,0
2020-03-02,2,3,2020,30,0,France,fr,FRA,67012883,Europe,0.17608554,130,2
2020-03-02,2,3,2020,0,0,Nigeria,ng,NGA,200963603,Africa,4.976e-4,1,0
2020-03-03,3,3,2020,48,1,France,fr,FRA,67012883,Europe,0.24771356,178,3
